feature,importance
ch07_iemg,0.019113624462720517
ch07_mav,0.01835333734022748
ch14_iemg,0.01826805498021061
ch14_mav,0.017521534591914793
ch09_rms,0.016946365633794168
ch07_wl,0.016831255207187118
ch14_rms,0.01678754808609843
ch09_mav,0.01617294779028541
ch14_wl,0.016101141577649178
ch02_iemg,0.01572856369531072
ch07_var,0.015704491830822887
ch02_mav,0.01553819786621796
ch02_var,0.015416531937643398
ch07_rms,0.01507792248435132
ch14_var,0.015039594392768075
ch09_wl,0.015002421193862107
ch09_iemg,0.01488939900271422
ch09_var,0.014621392577821043
ch02_wl,0.014261369592235553
ch02_rms,0.013908836532793002
ch13_mav,0.012399851133714822
ch13_iemg,0.012357960596795925
ch13_rms,0.012161753168619274
ch13_var,0.01146121402619562
ch04_var,0.011440632226713215
ch04_iemg,0.01098276626566801
ch11_iemg,0.010982407347271543
ch04_mav,0.010789182155955182
ch13_wl,0.01076979224291735
ch04_rms,0.010749097480934298
ch11_mav,0.010330802750171625
ch12_mav,0.010251235751919345
ch11_wl,0.010238549113636058
ch11_rms,0.010173909623463389
ch12_iemg,0.010109502086244464
ch12_rms,0.009900626372234043
ch11_var,0.009884336277745084
ch12_var,0.009867816028539736
ch01_iemg,0.009754984115373276
ch10_iemg,0.0096237177377801
ch06_mav,0.009565262439276391
ch04_wl,0.009538161626803406
ch10_rms,0.009502831854962816
ch03_mav,0.009502488122597035
ch08_var,0.009475869867456896
ch10_mav,0.009425499709593442
ch10_var,0.009376180005550764
ch12_wl,0.009373853368086101
ch05_iemg,0.00933945238166832
ch06_iemg,0.009050025039655834
ch03_rms,0.009004069821843114
ch05_rms,0.008923576105522012
ch08_iemg,0.008885624030652657
ch03_var,0.008822354210195912
ch01_rms,0.008809633163308855
ch08_rms,0.008730755566487716
ch03_iemg,0.008687012189569188
ch08_mav,0.008682949241440415
ch01_var,0.008543958569207576
ch06_rms,0.008473230782233034
ch05_mav,0.008436800917730785
ch05_var,0.00827652123781312
ch10_wl,0.008226337002008756
ch06_var,0.008164758018373639
ch01_wl,0.008139665950060675
ch01_mav,0.008137164144009406
ch05_wl,0.008075290864402247
ch03_wl,0.008050267354225754
ch08_wl,0.007971906498210429
ch00_iemg,0.0072007546591024655
ch00_mav,0.007161861184502211
ch00_rms,0.006959482813654518
ch00_wl,0.00691720688502903
ch06_wl,0.006892116860176698
ch15_var,0.006849660822856067
ch00_var,0.006823847493751041
ch15_wl,0.0067464240130196244
ch15_mav,0.006456316169158744
ch15_iemg,0.00634475243964075
ch15_rms,0.006339531159393894
ch09_kurt,0.0030843145050637685
ch01_kurt,0.003022911318391296
ch06_kurt,0.0029104285396736687
ch04_skew,0.0027569449179296263
ch02_skew,0.0027526459693833685
ch03_skew,0.002735953557173986
ch07_kurt,0.0027254801436119723
ch02_kurt,0.002710184065905025
ch14_kurt,0.0026941158094882177
ch10_skew,0.0026873268416389776
ch13_skew,0.0026827669235066844
ch14_skew,0.0026549226889163204
ch05_kurt,0.002643217918266914
ch10_kurt,0.002637383087033419
ch12_kurt,0.0026271211255602064
ch08_kurt,0.0026235788469970256
ch04_kurt,0.002604231280853776
ch06_skew,0.002583739456812645
ch07_skew,0.002541750261542219
ch13_kurt,0.0025275975822191274
ch00_skew,0.0025194175130502706
ch09_skew,0.002504888828296346
ch12_skew,0.0024967562152654562
ch01_skew,0.002463557068392377
ch05_skew,0.002447923646110418
ch11_kurt,0.0024393224541008813
ch08_skew,0.0024163692740488997
ch03_kurt,0.002408129762838615
ch15_kurt,0.002395583842202595
ch15_skew,0.0023313922532354437
ch00_kurt,0.002273805660081048
ch11_skew,0.0022700541870938427
ch03_zc,0.002196069443248407
ch02_zc,0.0018609007543859061
ch15_zc,0.0018198458397150185
ch08_zc,0.001803787148178214
ch04_zc,0.0018009670172214787
ch10_zc,0.0017574934076806817
ch09_zc,0.0017455733511941526
ch03_ssc,0.0017169810060540494
ch00_zc,0.0017072112109049083
ch12_zc,0.001676130100345538
ch00_ssc,0.001659659859961089
ch02_ssc,0.0016302915861098387
ch05_zc,0.0016192929716041784
ch14_zc,0.0016093683947288255
ch11_ssc,0.0016028466247482195
ch09_ssc,0.0015924167172143135
ch15_ssc,0.0015850574774798744
ch13_zc,0.0015474878009758789
ch01_zc,0.001546038541042013
ch11_zc,0.001538129699700811
ch07_zc,0.00152733387418916
ch06_zc,0.0015152218099024133
ch04_ssc,0.001503582825070913
ch10_ssc,0.0014798730100162249
ch14_ssc,0.0014640533063399422
ch07_ssc,0.0014623451546993955
ch05_ssc,0.001442205224123385
ch06_ssc,0.0014290596394105329
ch01_ssc,0.0014176991884327264
ch12_ssc,0.0014061900055728326
ch13_ssc,0.001404608896197998
ch08_ssc,0.0013603407071149905
