subject,channel,rest_mean_abs,active_mean_abs,active_rms,activation_ratio
1,0,3.9157647559052946,15.178109376788917,23.059700770852654,3.8761545503720782
1,1,2.1099493641539127,22.46616799603099,32.296149816684334,10.647728508423185
1,2,1.8767055776748434,15.727741098347517,25.315824432224286,8.3805053309606
1,3,1.3500347879875487,6.207915124222417,9.814164569799434,4.598337153575388
1,4,1.1349194078321625,10.961454795252452,19.912470181395253,9.658355227346227
1,5,1.1221928027531163,15.433156508796703,24.992605859936138,13.75267821263332
1,6,1.247874067489694,9.650688852421478,17.65000533262821,7.733704148396514
1,7,4.05229793977913,15.06480174025875,25.065736571430246,3.7175947978494035
1,8,1.7860925360452196,18.382437125519978,26.341884127131987,10.291984740176183
1,9,1.7418054965028749,28.276609548524977,39.65680635877547,16.234079870167815
1,10,2.251526806077302,17.21367782315002,26.412848975470826,7.645335501530344
1,11,1.3540837230886271,8.795672251268938,14.002841534541616,6.495663526038298
1,12,1.237031811682033,17.461015914208296,27.411718668208287,14.115252129584265
1,13,1.1791677940561198,10.796893485478762,20.28944185971846,9.156367346448159
1,14,1.3537938232007218,11.73919016906461,21.00713628353333,8.671327914105932
1,15,1.7694136291610634,11.59004694118994,18.503538816840596,6.55021909528591
10,0,1.4833638395935427,16.80672,23.860927056591912,11.33014001784297
10,1,2.012349608966223,11.94568,18.825085391572596,5.936185216910043
10,2,1.3472576922808668,5.377,8.232639916818906,3.991070179675056
10,3,1.0753998972684593,4.01528,6.41268118652409,3.7337552385851107
10,4,1.1327492530196728,7.89596,14.574249894934558,6.970615940775084
10,5,1.1976950290482642,5.67608,10.349214462943552,4.739169707091827
10,6,2.3985877892980056,8.87024,15.385803846403347,3.6981093790175814
10,7,2.3925468265059955,11.6144,18.826950894927197,4.854408645769882
10,8,1.5197036672633226,17.61672,26.100525665204522,11.592207335871034
10,9,2.2017609225681563,11.50848,19.40636802701629,5.226943525992092
10,10,1.3565976718790522,5.72596,9.57915027546807,4.220823991293492
10,11,1.3074452153414282,7.17924,11.738144657483142,5.491044608033693
10,12,1.306186379981177,5.815,10.969490416605504,4.451891467497768
10,13,1.4138529767125458,5.76116,10.111227423018434,4.074794264249243
10,14,1.7856579585173107,9.91948,15.572417924009104,5.5550840252947795
10,15,1.478791518055159,12.61248,19.5099277292357,8.528910158064319
2,0,7.35220079330592,13.28724872746096,19.947953372666785,1.8072478025299339
2,1,3.0568756786312563,16.886032266413597,24.899795731136706,5.5239512631977465
2,2,2.137801644225164,9.374255888189111,16.28043429286781,4.384997978419446
2,3,1.440062637112011,4.553360365801052,6.980617013566003,3.1619182724805897
2,4,1.4566895400466484,9.335389526356655,16.016966728766292,6.408633596735858
2,5,1.3446518395968134,11.300448623932361,20.52742462569129,8.403995957288647
2,6,1.4515928883252358,8.439824001380382,14.671519093869733,5.814181144906106
2,7,3.575862552906461,9.627728409973255,18.565162469727863,2.6924212738959548
2,8,2.5455042361310904,19.896816495556898,29.14323715607314,7.816453892765094
2,9,2.8623460848122395,17.59170908463463,27.699327414112467,6.145905688336282
2,10,2.369581114321114,8.431110344232595,15.177348614478229,3.558059394243658
2,11,1.5836478730722128,7.883444051419205,12.490845582383685,4.978028377056853
2,12,1.4088105596724507,11.56651712535588,20.124771486915556,8.21012949253099
2,13,1.2461535052416877,13.486455008196014,22.43003385581899,10.822466856184269
2,14,1.6766506873103373,8.90371840220861,17.325555606092053,5.310419438942198
2,15,2.5399126921410766,10.759641100854111,16.991946713882623,4.2362247860512205
3,0,4.3907829869093415,19.689336544777753,27.732541303754342,4.484242697368429
3,1,6.184132320196465,26.278782570615284,36.73511310916873,4.249388792149976
3,2,2.173189391511783,8.493496825049267,13.37862990448966,3.908309537228484
3,3,1.796052574578402,6.261834902561857,9.014221301913848,3.4864429867993896
3,4,3.9344290702419524,22.622640683161812,34.689122661218114,5.749917022082852
3,5,2.432457956801125,26.34582877162251,37.80137144261899,10.83094928648607
3,6,3.332152109308988,20.703174950733523,31.055514402749093,6.213154223330726
3,7,3.5357443011004914,17.350689730676592,27.077477658844607,4.907224124005866
3,8,5.984768275038473,25.46455003284432,35.422626524478794,4.254893232717623
3,9,3.4996924196618817,20.69967155682067,31.24386307159412,5.914711658809303
3,10,2.078567282117153,9.146003941318153,15.989810911603456,4.400148130880982
3,11,2.3423672422616724,11.408145390847384,17.7938970453477,4.870348758733601
3,12,2.7629898541819267,17.112677906722137,26.620264715825375,6.193536281293694
3,13,1.8339499380517206,12.93531858988395,21.858759948088114,7.0532561012137895
